"","Bee.02.16S.R1.fastq","Bee.03.16S.R1.fastq","Bee.04.16S.R1.fastq","Bee.05.16S.R1.fastq","Bee.06.16S.R1.fastq","Bee.07.16S.R1.fastq","Bee.08.16S.R1.fastq","Bee.09.16S.R1.fastq","Bee.10.16S.R1.fastq","Bee.11.16S.R1.fastq","Bee.12.16S.R1.fastq","Bee.13.16S.R1.fastq","Bee.14.16S.R1.fastq","Bee.15.16S.R1.fastq","Bee.16.16S.R1.fastq","Bee.17.16S.R1.fastq","Bee.18.16S.R1.fastq","Bee.19.16S.R1.fastq","Bee.20.16S.R1.fastq","Bee.21.16S.R1.fastq","Bee.22.16S.R1.fastq","Bee.23.16S.R1.fastq","Bee.24.16S.R1.fastq","Bee.25.16S.R1.fastq","Bee.26.16S.R1.fastq","Bee.27.16S.R1.fastq","Bee.28.16S.R1.fastq","Bee.29.16S.R1.fastq","Bee.30.16S.R1.fastq","Bee.31.16S.R1.fastq","Bee.32.16S.R1.fastq","Bee.33.16S.R1.fastq","Bee.34.16S.R1.fastq","Bee.35.16S.R1.fastq","Bee.36.16S.R1.fastq","Bee.37.16S.R1.fastq","Bee.38.16S.R1.fastq","Bee.39.16S.R1.fastq","Bee.40.16S.R1.fastq","BeeNCE1.16S.R1.fastq","BeeNCE2.16S.R1.fastq"
"ASV_0078",0,0,0,26,0,19,0,0,0,0,0,14,28,0,0,0,15,0,0,0,0,0,10,24,0,29,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0079",0,15,14,7,35,0,0,0,1,12,0,7,6,0,0,0,16,27,2,0,11,3,2,1,5,1,0,0,4,0,10,3,10,2,8,12,0,0,2,0,1
"ASV_0080",4,0,3,0,6,6,93,0,0,0,0,0,0,0,2,0,8,5,0,0,0,0,0,5,0,4,12,6,0,3,6,4,0,0,0,13,0,0,0,16,16
"ASV_0081",0,32,0,17,18,11,0,0,0,0,23,0,0,11,0,0,0,0,36,21,0,0,13,0,13,13,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"ASV_0082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0083",0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0084",0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"ASV_0086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,16,15,19,92,0,0,0,0,7,0,0,10,0,0
"ASV_0087",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,0,10,68,14,14,13,10,7,0,0,0,0,0,0,0,0,4,0
